"caminho","tipo","objetivo","disciplina","classificação","página","serviço","prioridade","esforço","risco"
"storage/content/leis/estatuto-oab/texto.txt","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/index.json","lei/legislação","","Direito Constitucional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/regulamento-oab/artigos.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/regulamento-oab/meta.json","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/leis/regulamento-oab/texto.txt","lei/legislação","OAB","Ética Profissional","precisa de revisão jurídica","Leis Secas","leisService","Urgente","médio","alto"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/gabaritos/cbmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","gabarito/padrão de resposta","Corpo de Bombeiros","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/metadata.json","container pedagógico","Corpo de Bombeiros","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/provas/cbmal-soldado-combatente-2018-cebraspe-prova.pdf","prova PDF","Corpo de Bombeiros","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","banco de questões","Corpo de Bombeiros","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/gabaritos/cbmam-soldado-bombeiro-militar-2021-fgv-gabarito-definitivo.pdf","gabarito/padrão de resposta","Corpo de Bombeiros","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/metadata.json","container pedagógico","Corpo de Bombeiros","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/provas/cbmam-soldado-bombeiro-militar-2021-fgv-prova.pdf","prova PDF","Corpo de Bombeiros","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Corpo de Bombeiros","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcam-delegado-2021-fgv/metadata.json","container pedagógico","Polícia Civil","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcam-delegado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Direito Constitucional","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrj-inspetor-2021-fgv/metadata.json","container pedagógico","Polícia Civil","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrj-inspetor-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrj-investigador-2021-fgv/metadata.json","container pedagógico","Polícia Civil","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrj-investigador-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrn-delegado-2021-fgv/metadata.json","container pedagógico","Polícia Civil","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcrn-delegado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Direito Constitucional","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcsc-delegado-2024-fgv/metadata.json","container pedagógico","Polícia Civil","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pcsc-delegado-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Civil","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-ba-soldado-2023-fcc/gabaritos/pm-ba-soldado-2023-fcc-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-ba-soldado-2023-fcc/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-ba-soldado-2023-fcc/provas/pm-ba-soldado-2023-fcc-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-ba-soldado-2023-fcc/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/gabaritos/pm-pb-soldado-pm-combatente-2023-ibfc-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/provas/pm-pb-soldado-pm-combatente-2023-ibfc-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/gabaritos/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/provas/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/gabaritos/pmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/provas/pmal-soldado-combatente-2018-cebraspe-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmam-oficial-2021-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmam-oficial-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmam-soldado-2021-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmam-soldado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmce-soldado-2021-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmce-soldado-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmerj-cfo-2021-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmerj-cfo-2021-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Direito Administrativo","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmesp-cabo-2022-fgv-local/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmesp-cabo-2022-fgv-local/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmesp-sargento-2024-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmesp-sargento-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/gabaritos/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","Legislação Institucional PMMA","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/metadata.json","container pedagógico","Polícia Militar","Legislação Institucional PMMA","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/provas/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe-prova.pdf","prova PDF","Polícia Militar","Legislação Institucional PMMA","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmma-soldado-do-quadro-de-praca-policial-2017-cebraspe/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Legislação Institucional PMMA","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmpb-cfo-2022-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmpb-cfo-2022-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/gabaritos/pmpi-soldado-pm-2017-nucepe-uespi-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/provas/pmpi-soldado-pm-2017-nucepe-uespi-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/gabaritos/pmsp-cabo-pm-2022-fgv-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/provas/pmsp-cabo-pm-2022-fgv-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2017-vunesp/gabaritos/pmsp-soldado-2017-vunesp-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2017-vunesp/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2017-vunesp/provas/pmsp-soldado-2017-vunesp-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2017-vunesp/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2023-vunesp/gabaritos/pmsp-soldado-2023-vunesp-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2023-vunesp/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2023-vunesp/provas/pmsp-soldado-2023-vunesp-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2023-vunesp/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2024-fgv/gabaritos/pmsp-soldado-2024-fgv-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2024-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2024-fgv/provas/pmsp-soldado-2024-fgv-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2024-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2025-fgv/gabaritos/pmsp-soldado-2025-fgv-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2025-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmsp-soldado-2025-fgv/provas/pmsp-soldado-2025-fgv-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmsp-soldado-2025-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/gabaritos/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-gabarito-definitivo.pdf","gabarito/padrão de resposta","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/metadata.json","container pedagógico","Polícia Militar","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/provas/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-prova.pdf","prova PDF","Polícia Militar","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/questoes/questoes-extraidas.json","banco de questões","Polícia Militar","Língua Portuguesa","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/10-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/11-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/12-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/13-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/14-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/15-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-administrativo-19vvnu.pdf","prova PDF","OAB","Direito Administrativo","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-civil-sar2hr.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-constitucional-15wc24.pdf","prova PDF","OAB","Direito Constitucional","pronto para conectar","Provas","provasService/storage público","Alta","médio","alto"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-do-trabalho-ys2xgc.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-empresarial-1yw2i4.pdf","prova PDF","OAB","Direito Empresarial","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-penal-1f7tn6.pdf","prova PDF","OAB","Direito Penal","pronto para conectar","Provas","provasService/storage público","Alta","médio","alto"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-tributario-uumxfr.pdf","prova PDF","OAB","Direito Tributário","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-t734op.pdf","gabarito/padrão de resposta","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1469zy.pdf","gabarito/padrão de resposta","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-prova-01-18yozo.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-prova-02-95ox0c.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-prova-03-13pdat.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-prova-04-1yfs87.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-administrativo-edxrv4.pdf","prova PDF","OAB","Direito Administrativo","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-civil-1221zb.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-constitucional-rawx81.pdf","prova PDF","OAB","Direito Constitucional","pronto para conectar","Provas","provasService/storage público","Alta","médio","alto"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-do-trabalho-17cl7h.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-empresarial-st7h0d.pdf","prova PDF","OAB","Direito Empresarial","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-penal-1n7nnc.pdf","prova PDF","OAB","Direito Penal","pronto para conectar","Provas","provasService/storage público","Alta","médio","alto"
"storage/content/oab/16-exame/provas/caderno-de-provas-direito-tributario-1lodof.pdf","prova PDF","OAB","Direito Tributário","pronto para conectar","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/16-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","precisa de revisão pedagógica","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/17-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1avzn9.pdf","gabarito/padrão de resposta","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/17-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-cvnc3q.pdf","gabarito/padrão de resposta","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/17-exame/metadata.json","container pedagógico","OAB","","precisa de taxonomia","Biblioteca","bibliotecaService","Média","médio","médio"
"storage/content/oab/17-exame/provas/caderno-de-prova-01-dnzoxi.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/17-exame/provas/caderno-de-prova-02-117iv7.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
"storage/content/oab/17-exame/provas/caderno-de-prova-03-1l5nvm.pdf","prova PDF","OAB","","precisa de taxonomia","Provas","provasService/storage público","Alta","médio","médio"
