"chave","instituição","concurso","cargo","ano","banca","tipo","fase","aplicação","variantes","prova principal","gabarito preliminar","gabarito definitivo","padrão resposta","questões extraídas","sem gabarito","gabarito sem prova"
"storage/content/oab/16-exame/","OAB","oab","","","","objetiva","","normal","","storage/content/oab/16-exame/provas/caderno-de-prova-01-18yozo.pdf","storage/content/oab/16-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1469zy.pdf","storage/content/oab/16-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-t734op.pdf","","não","não","não"
"storage/content/oab/17-exame/","OAB","oab","","","","objetiva","","normal","","storage/content/oab/17-exame/provas/caderno-de-prova-01-dnzoxi.pdf","storage/content/oab/17-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-cvnc3q.pdf","storage/content/oab/17-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1avzn9.pdf","","não","não","não"
"storage/content/oab/18-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/18-exame/provas/caderno-de-prova-tipo-1-34r88r.pdf","storage/content/oab/18-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1ophiw.pdf","","","não","não","não"
"storage/content/oab/19-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/19-exame/provas/caderno-de-prova-tipo-1-1hvk6o.pdf","storage/content/oab/19-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-atualizado-14pawg.pdf","","","não","não","não"
"storage/content/oab/20-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/20-exame/provas/caderno-de-prova-tipo-1-15xg3w.pdf","storage/content/oab/20-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-9n9ffh.pdf","","","não","não","não"
"storage/content/oab/2010-2-exame/","OAB","oab","","2010","","objetiva","","normal","","storage/content/oab/2010-2-exame/provas/caderno-de-prova-01-1uw61u.pdf","","","","não","não","não"
"storage/content/oab/21-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/21-exame/provas/caderno-de-prova-tipo-1-l5p1dl.pdf","storage/content/oab/21-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-rv9qdu.pdf","","","não","não","não"
"storage/content/oab/22-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/22-exame/provas/caderno-de-prova-tipo-1-13b7mz.pdf","storage/content/oab/22-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-mzcemy.pdf","","","não","não","não"
"storage/content/oab/23-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/23-exame/provas/caderno-de-prova-tipo-1-1c1xvg.pdf","storage/content/oab/23-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1ojpwd.pdf","","","não","não","não"
"storage/content/oab/24-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/24-exame/provas/caderno-de-prova-tipo-1-49qjjq.pdf","storage/content/oab/24-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-9c1rjf.pdf","","","não","não","não"
"storage/content/oab/25-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/25-exame/provas/caderno-de-prova-tipo-1-1tybaf.pdf","storage/content/oab/25-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-18qbq1.pdf","","","não","não","não"
"storage/content/oab/26-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/26-exame/provas/caderno-de-prova-tipo-1-8hrwbk.pdf","storage/content/oab/26-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-atualizado-em-06.08.2018-1sxrjv.pdf","","","não","não","não"
"storage/content/oab/27-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/27-exame/provas/caderno-de-prova-tipo-1-n8lbvy.pdf","storage/content/oab/27-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-retificado-em-19.11.2018-13i9pd.pdf","","","não","não","não"
"storage/content/oab/28-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/28-exame/provas/caderno-de-prova-tipo-1-5ejlci.pdf","storage/content/oab/28-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-retificado-em-19.03.2019-166b6o.pdf","","","não","não","não"
"storage/content/oab/29-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/29-exame/provas/caderno-de-prova-tipo-1-gajlkk.pdf","storage/content/oab/29-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-fayxg3.pdf","","","não","não","não"
"storage/content/oab/30-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/30-exame/provas/caderno-de-prova-tipo-1-1lsa72.pdf","storage/content/oab/30-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1le03g.pdf","","","não","não","não"
"storage/content/oab/31-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/31-exame/provas/caderno-de-prova-tipo-1-1ms0lm.pdf","storage/content/oab/31-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1erk02.pdf","","","não","não","não"
"storage/content/oab/32-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/32-exame/provas/caderno-de-prova-tipo-1-1myk9o.pdf","storage/content/oab/32-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-9lok8x.pdf","","","não","não","não"
"storage/content/oab/33-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/33-exame/provas/caderno-de-prova-tipo-1-18f7of.pdf","storage/content/oab/33-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1tizcj.pdf","","","não","não","não"
"storage/content/oab/34-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/34-exame/provas/caderno-de-prova-tipo-1-1jguo5.pdf","storage/content/oab/34-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1agp71.pdf","","","não","não","não"
"storage/content/oab/35-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/35-exame/provas/caderno-de-prova-tipo-1-1rapti.pdf","storage/content/oab/35-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-4qo4e2.pdf","storage/content/oab/35-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1u4p9v.pdf","","não","não","não"
"storage/content/oab/36-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/36-exame/provas/caderno-de-prova-tipo-1-16vl03.pdf","storage/content/oab/36-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-ip29f5.pdf","storage/content/oab/36-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1138md.pdf","","não","não","não"
"storage/content/oab/37-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/37-exame/provas/caderno-de-prova-tipo-1-13eodq.pdf","storage/content/oab/37-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-uivq1.pdf","storage/content/oab/37-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1ftur1.pdf","","não","não","não"
"storage/content/oab/38-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/38-exame/provas/caderno-de-prova-tipo-1-1nbviw.pdf","storage/content/oab/38-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-1mpipe.pdf","storage/content/oab/38-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-usmjo3.pdf","","não","não","não"
"storage/content/oab/39-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/39-exame/provas/caderno-de-prova-tipo-1-1pymkz.pdf","storage/content/oab/39-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-8lt9zn.pdf","storage/content/oab/39-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1yuivs.pdf","","não","não","não"
"storage/content/oab/40-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/40-exame/provas/caderno-de-prova-tipo-1-v2h0ss.pdf","storage/content/oab/40-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-11gyjn.pdf","storage/content/oab/40-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-666q9e.pdf","","não","não","não"
"storage/content/oab/41-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/41-exame/provas/caderno-de-prova-tipo-1-19epxk.pdf","storage/content/oab/41-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-gdwb78.pdf","storage/content/oab/41-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1agscl.pdf","","não","não","não"
"storage/content/oab/42-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/42-exame/provas/caderno-de-prova-tipo-1-1l67c6.pdf","storage/content/oab/42-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-d8co1o.pdf","storage/content/oab/42-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-oz8qn8.pdf","","não","não","não"
"storage/content/oab/43-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/43-exame/provas/caderno-de-prova-tipo-1-wjxb32.pdf","storage/content/oab/43-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-atualizado-em-30-04-2025-dojv0d.pdf","storage/content/oab/43-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-99gv56.pdf","","não","não","não"
"storage/content/oab/44-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/44-exame/provas/caderno-de-prova-tipo-1-bmn0xq.pdf","storage/content/oab/44-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-lt9f0s.pdf","storage/content/oab/44-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1ehcwq.pdf","","não","não","não"
"storage/content/oab/45-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/45-exame/provas/caderno-de-prova-tipo-1-1e6sag.pdf","storage/content/oab/45-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-atualizado-em-22.12.2025-ghhg7q.pdf","storage/content/oab/45-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-iamkq5.pdf","","não","não","não"
"storage/content/oab/46-exame/","OAB","oab","","","","objetiva","","normal","1; 2; 3; 4","storage/content/oab/46-exame/provas/caderno-de-prova-tipo-1-1dfntz.pdf","storage/content/oab/46-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-atualizado-em-04.05.2026-1wy91d.pdf","storage/content/oab/46-exame/gabaritos/gabaritos-definitivos-da-prova-objetiva-1-fase-1kizjh.pdf","","não","não","não"
"storage/content/oab/7-exame/","OAB","oab","","","","objetiva","","normal","","storage/content/oab/7-exame/provas/caderno-de-prova-01-5noo95.pdf","storage/content/oab/7-exame/gabaritos/gabaritos-preliminares-da-prova-objetiva-1-fase-9rqav3.pdf","","","não","não","não"
"material-","","material-","","","","discursiva","","normal","1; 2; 3; 4","material-provas/fgv/provas PM/aluno_oficial_da_pmns101_tipo_1.pdf","","material-provas/fgv/provas PM/pcam2021e01_gabarito_definitivo.pdf","","não","não","não"
