"Nome do arquivo","Tipo de arquivo","Disciplina","Assunto","Tópicos do edital atendidos","Situação","Nível de cobertura","Atualização necessária","Problemas encontrados","Ação recomendada","Prioridade"
"material-provas/fgv/provas PM/ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_3.pdf","PDF","Direito Constitucional","ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_3","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_4.pdf","PDF","Direito Constitucional","ns001_-_delegado_de_policia_-_4a_classe_prova_objetivans001_tipo_4","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-1.pdf","PDF","Direito Constitucional","pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-1","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-2.pdf","PDF","Direito Constitucional","pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-2","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-3.pdf","PDF","Direito Constitucional","pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-3","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4 (1).pdf","PDF","Direito Constitucional","pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4 (1)","Conhecimentos Específicos > Direito Constitucional","duplicado","baixo","Validar aderência quando o edital oficial for anexado","duplicado | duplicatas: material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4.pdf","Manter a versão mais completa/recente e remover ou ocultar duplicata.","Média"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4.pdf","PDF","Direito Constitucional","pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4","Conhecimentos Específicos > Direito Constitucional","duplicado","baixo","Validar aderência quando o edital oficial for anexado","duplicado | duplicatas: material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-01-tipo-4 (1).pdf","Manter a versão mais completa/recente e remover ou ocultar duplicata.","Média"
"material-provas/fgv/provas PM/pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-4.pdf","PDF","Direito Constitucional","pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-4","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pmesp2022_gabarito_definitivo.pdf","PDF","Direito Constitucional","pmesp2022_gabarito_definitivo","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/banco-repertorios-redacao.js","apostila/módulo JS","Direito Constitucional","Banco de Repertórios para Redação","Conhecimentos Específicos > Direito Constitucional","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-constitucional-avancado.js","apostila/módulo JS","Direito Constitucional","Direito Constitucional Avançado 10/10 Reescrito de Verdade","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/direito-constitucional.js","apostila/módulo JS","Direito Constitucional","Direito Constitucional para PMMA","Conhecimentos Específicos > Direito Constitucional","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-internacional.js","apostila/módulo JS","Direito Constitucional","Direito Internacional","Conhecimentos Específicos > Direito Constitucional","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/direito-previdenciario.js","apostila/módulo JS","Direito Constitucional","Direito Previdenciário","Conhecimentos Específicos > Direito Constitucional","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/direito-tributario.js","apostila/módulo JS","Direito Constitucional","Direito Tributário","Conhecimentos Específicos > Direito Constitucional","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/oab-1fase-direito-constitucional.js","apostila/módulo JS","Direito Constitucional","OAB 1ª Fase — Direito Constitucional","Conhecimentos Específicos > Direito Constitucional","fora do edital","alto","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/mockLeis.js","apostila/módulo JS","Direito Constitucional","mockLeis","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/mockRedacoes.js","apostila/módulo JS","Direito Constitucional","mockRedacoes","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/fgv-local/fgv-local-preview.json","JSON de conteúdo/questões","Direito Constitucional","fgv-local-preview","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"storage/content/leis/cdc/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/cdc/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","duplicado | fora do edital PMMA provável | duplicatas: storage/content/leis/ctn/texto.txt","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/cf88/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/cf88/meta.json","JSON de conteúdo/questões","Direito Constitucional","meta","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/cf88/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/clt/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/codigo-civil/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/codigo-civil/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/codigo-etica-oab/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/cpc/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/ctn/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/ctn/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","duplicado | fora do edital PMMA provável | duplicatas: storage/content/leis/cdc/texto.txt","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/index.json","JSON de conteúdo/questões","Direito Constitucional","index","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/regulamento-oab/artigos.json","JSON de conteúdo/questões","Direito Constitucional","artigos","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/regulamento-oab/texto.txt","lei seca/texto","Direito Constitucional","texto","Conhecimentos Específicos > Direito Constitucional","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/militar/pcam-delegado-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Direito Constitucional","questoes-extraidas","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"storage/content/militar/pmerj-cfo-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Direito Constitucional","questoes-extraidas","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"storage/content/militar/pmsp-soldado-2024-fgv/gabaritos/pmsp-soldado-2024-fgv-gabarito-definitivo.pdf","PDF","Direito Constitucional","pmsp-soldado-2024-fgv-gabarito-definitivo","Conhecimentos Específicos > Direito Constitucional","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-1.pdf","PDF","Direito Penal","curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-1","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-2.pdf","PDF","Direito Penal","curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-2","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-3.pdf","PDF","Direito Penal","curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-3","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-4.pdf","PDF","Direito Penal","curso-de-formacao-de-oficiais-combatentes-da-pmpbcfopb-22-tipo-4","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-2.pdf","PDF","Direito Penal","pmerj2021-curso-de-formacao-de-oficiais-da-pmerj-pmcfo01-tipo-2","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"public/logos/concursos/policia-penal.png","imagem","Direito Penal","policia-penal","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","apostila/módulo JS","Direito Penal","CTB — Código de Trânsito Brasileiro","Conhecimentos Específicos > Direito Penal","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-digital-lgpd-crimes-ciberneticos.js","apostila/módulo JS","Direito Penal","Direito Digital, LGPD e Crimes Cibernéticos","Conhecimentos Específicos > Direito Penal","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/direito-financeiro.js","apostila/módulo JS","Direito Penal","Direito Financeiro","Conhecimentos Específicos > Direito Penal","fora do edital","alto","Conferir texto vigente/edital 2026","fora do edital PMMA provável | precisa atualização/verificação legislativa","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"src/data/apostilas/direito-penal-parte-especial-avancado.js","apostila/módulo JS","Direito Penal","Direito Penal Parte Especial Avançado","Conhecimentos Específicos > Direito Penal","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-penal-parte-geral-avancado.js","apostila/módulo JS","Direito Penal","Direito Penal Parte Geral Avançado 10/10 Reescrito de Verdade","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","alto","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"src/data/apostilas/direito-penal-parte-geral.js","apostila/módulo JS","Direito Penal","Direito Penal para PMMA","Conhecimentos Específicos > Direito Penal","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/oab-1fase-direito-penal.js","apostila/módulo JS","Direito Penal","OAB 1ª Fase — Direito Penal","Conhecimentos Específicos > Direito Penal","fora do edital","alto","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/codigo-penal/artigos.json","JSON de conteúdo/questões","Direito Penal","artigos","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/codigo-penal/meta.json","JSON de conteúdo/questões","Direito Penal","meta","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/codigo-penal/texto.txt","lei seca/texto","Direito Penal","texto","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"storage/content/leis/estatuto-oab/artigos.json","JSON de conteúdo/questões","Direito Penal","artigos","Conhecimentos Específicos > Direito Penal","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/leis/estatuto-oab/texto.txt","lei seca/texto","Direito Penal","texto","Conhecimentos Específicos > Direito Penal","fora do edital","baixo","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
"storage/content/militar/pcrn-delegado-2021-fgv/questoes/questoes-extraidas.json","JSON de conteúdo/questões","Direito Penal","questoes-extraidas","Conhecimentos Específicos > Direito Penal","pronto para entrar na plataforma","médio","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Publicar após revisão editorial rápida.","Baixa"
"material-provas/fgv/provas PM/soldado-policial-militar-classe-cpm-sel-tipo-1_0.pdf","PDF","Direito Penal Militar","soldado-policial-militar-classe-cpm-sel-tipo-1_0","Conhecimentos Específicos > Direito Penal Militar","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado-policial-militar-classe-cpm-sel-tipo-1.pdf","PDF","Direito Penal Militar","soldado-policial-militar-classe-cpm-sel-tipo-1","Conhecimentos Específicos > Direito Penal Militar","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado-policial-militar-classe-cpm-sel-tipo-2.pdf","PDF","Direito Penal Militar","soldado-policial-militar-classe-cpm-sel-tipo-2","Conhecimentos Específicos > Direito Penal Militar","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado-policial-militar-classe-cpm-sel-tipo-3.pdf","PDF","Direito Penal Militar","soldado-policial-militar-classe-cpm-sel-tipo-3","Conhecimentos Específicos > Direito Penal Militar","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"material-provas/fgv/provas PM/soldado-policial-militar-classe-cpm-sel-tipo-4.pdf","PDF","Direito Penal Militar","soldado-policial-militar-classe-cpm-sel-tipo-4","Conhecimentos Específicos > Direito Penal Militar","pronto para entrar na plataforma","baixo","Validar aderência quando o edital oficial for anexado","Nenhum problema crítico detectado","Complementar teoria, questões e revisão.","Média"
"src/data/apostilas/direito-penal-militar-avancado.js","apostila/módulo JS","Direito Penal Militar","Direito Penal Militar Avançado","Conhecimentos Específicos > Direito Penal Militar","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-penal-militar.js","apostila/módulo JS","Direito Penal Militar","Direito Penal Militar para PMMA","Conhecimentos Específicos > Direito Penal Militar","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-processual-penal-avancado.js","apostila/módulo JS","Direito Processual Penal","Direito Processual Penal Avançado","Conhecimentos Específicos > Direito Processual Penal","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/direito-processual-penal.js","apostila/módulo JS","Direito Processual Penal","Direito Processual Penal para PMMA","Conhecimentos Específicos > Direito Processual Penal","precisa atualização","alto","Conferir texto vigente/edital 2026","precisa atualização/verificação legislativa","Conferir texto vigente e atualizar antes de publicar.","Alta"
"src/data/apostilas/oab-1fase-processo-penal.js","apostila/módulo JS","Direito Processual Penal","OAB 1ª Fase — Processo Penal","Conhecimentos Específicos > Direito Processual Penal","fora do edital","alto","Validar aderência quando o edital oficial for anexado","fora do edital PMMA provável","Arquivar fora do pacote PMMA ou manter apenas em biblioteca geral.","Baixa"
